COMP 3 0X28 1 NULL
J 3 0X3C 1 NULL
JEQ 3 0X30 1 NULL
JLT 3 0X38 1 NULL
JSUB 3 0X48 1 NULL
LDA 3 0X00 1 NULL
LDCH 3 0X50 1 NULL
LDL 3 0X08 1 NULL
LDX 3 0X04 1 NULL
RD 3 0XD8 1 NULL
RSUB 3 0X4C 0 NULL
STA 3 0X0C 1 NULL
STCH 3 0X54 1 NULL
STL 3 0X14 1 NULL
STX 3 0X10 1 NULL
TD 3 0XE0 1 NULL
TIX 3 0X2C 1 NULL
WD 3 0XDC 1 NULL
CLEAR 2 0xB4 1 NULL
COMPR 2 0XA0 2 NULL
LDT 3 0X74 1 NULL
TIXR 2	0XB8 1 NULL
